Coords,PGC,Name1,Name2,Name3,logD25,logD25err,RC3PA,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,SemiMinorAxis,PositionAngle,NEDRedshift
00h42m36.8s -01d31m43s,PGC 02547,NGC 0227,UGC 00456      P,,1.21,0.05,155.0,0.11,0.03,004236.8-013143 N,"NOPA,PANedMed,",0.811,0.629,157.0,0.017669
00h43m30.2448s +00d00m55.98s,PGC 02591,,,,,,,,,004324.4+000100,"LOGD25,NOAXIS,NOPA,OFFSET 87.8 arcsec,NedNoPA,HANDADJ Absent Major Minor,",0.01,0.01,0.0,0.08229
00h43m27.5s +02d57m29s,PGC 02596,NGC 0236,UGC 00462      U,IRAS00409+0241,1.06,0.04,160.0,0.06,0.04,004327.5+025729 N,"NOPA,PANedMed,",0.574,0.5,55.0,0.018823
00h43m27.8424s -00d07m29.748s,PGC 02597,NGC 0237,UGC 00461      R,IRAS00408-0023,1.2,0.02,175.0,0.24,0.02,004327.9-000729 N,"NOPA,OFFSET 898.7 arcsec,PANedMed,",0.792,0.456,3.0,0.013926
00h43m51.8736s +00d48m07.092s,PGC 02615,,UGC 00466      E,,1.13,0.04,165.0,0.29,0.04,004352.0+004807,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.674,0.346,163.0,0.017996
00h43m56.1312s +01d51m01.044s,PGC 02617,IC 0049,UGC 00468      U,,1.18,0.04,95.0,0.07,0.04,004356.2+015101 I,"NOPA,OFFSET 1.0 arcsec,PANedMed,",0.757,0.644,130.0,0.015214
00h44m37.5s -03d45m33s,PGC 02642,NGC 0239,MCG -01-03-007 E,IRAS00420-0401,1.0,0.07,,0.33,0.05,004437.5-034533 N,"NOPA,PANedMed,",0.5,0.234,15.0,0.012632
00h46m05.4s -01d43m24s,PGC 02691,NGC 0245,UGC 00476      R,MK 0555,1.14,0.04,145.0,0.06,0.03,0046 5.4-014324 N,"NOPA,PANedMed,",0.69,0.601,145.0,0.013604
00h48m03.3s -02d46m31s,PGC 02820,NGC 0259,MCG -01-03-015 P,IRAS00455-0302,1.45,0.03,140.0,0.66,0.04,0048 3.3-024631 N,"NOPA,PANedMed,",1.409,0.308,140.0,0.013492
00h48m05.0904s -01d33m56.988s,PGC 02822,,UGC 00492      U,ARAK 014,1.08,0.08,128.0,0.24,0.04,004805.2-013358,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.601,0.346,129.0,0.01873
00h48m53.2296s -02d22m55.092s,PGC 02861,A 0046-02,E,MK 0557,0.46,0.16,,0.08,0.06,004853.8-022245 A,"NOPA,OFFSET 13.2 arcsec,PANedMed,",0.144,0.12,90.0,0.01307
00h49m25.8792s -01d46m17.112s,PGC 02883,,UGC 00505      E,,1.12,0.04,135.0,0.15,0.04,004926.1-014616,"NOPA,OFFSET 3.5 arcsec,PANedMed,",0.659,0.467,135.0,0.012863
00h49m35.7s +01d06m55s,PGC 02889,,UGC 00507      U,IRAS00470+0050,1.28,0.04,128.0,0.9,0.04,004935.7+010655,"NOPA,PANedMed,",0.953,0.12,128.0,0.017459
00h50m03.5s -03d33m31s,PGC 02918,,MCG -01-03-016 E,,1.05,0.06,,0.1,0.05,005003.5-033331,"NOPA,PANedMed,",0.561,0.446,55.0,0.045281
00h50m41.9s -01d54m37s,PGC 02949,NGC 0271,UGC 00519      U,IRAS00481-0210,1.33,0.03,130.0,0.1,0.04,005041.9-015437 N,"NOPA,PANedMed,",1.069,0.849,65.0,0.013773
00h51m29.7s -03d08m02.004s,PGC 03012,,MCG -01-03-023,,1.08,0.09,,0.42,0.07,005129.6-030803,"NOPA,OFFSET 1.8 arcsec,NedNoPA,HANDADJ Major Minor,",1.1,0.4,0.0,0.013233
00h51m43.6992s +03d10m18.012s,PGC 03024,,UGC 00526      U,,0.96,0.09,94.0,0.39,0.06,005143.8+031019,"NOPA,OFFSET 1.8 arcsec,PANedMed,",0.456,0.186,94.0,0.018073
00h51m49.9008s +03d06m20.988s,PGC 03031,,UGC 00527      U,,0.97,0.09,15.0,0.17,0.06,005149.9+030619,"NOPA,OFFSET 2.0 arcsec,PANedMed,",0.467,0.315,15.0,0.006508
00h51m59.6208s -00d29m12.156s,PGC 03043,,MCG +00-03-018,ARAK 018,0.64,0.17,,0.28,0.07,005159.8-002912,"NOPA,OFFSET 3504.2 arcsec,PANedMed,",0.218,0.115,94.0,0.005407
