Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
01h13m39.396s +00d52m27.876s,PGC 04416,,UGC 00772      U,,.I..9*.,,1.08,.07,,.12,.06,011339.6+005231,"OFFSET 2.402 arcsec,NedNoPA,",0.6011322173087066,0.0,0.456005419677955
01h13m43.1448s +02d22m17.328s,PGC 04422,,UGC 00773,,.S?....,,1.11,.14,,.15,.12,011343.3+022216,"PANedMedian,",0.6441247758465671,115.0,0.456005419677955
01h13m59.9s +02d04m17s,PGC 04434,NGC 0435,UGC 00779      U,,.SXS7*.,*,1.05,.05,20,.40,.04,011359.9+020417 N,"NOPA,OFFSET 4.934 arcsec,PANedMedian,PANedMedian,",0.5610092271509818,20.0,0.2233417960754816
01h14m10.2312s -01d51m14.004s,PGC 04442,,CGCG 385-036   H,,.SBT3*.,,.86,.10,,.06,.06,011410.3-015114,"OFFSET 1.008 arcsec,PANedMedian,",0.362217980037495,35.0,0.31547867224009657
01h14m04.0992s -01d44m32.208s,PGC 04443,,UGC 00784      U,,.S..3..,,1.09,.06,50,.20,.05,011404.3-014433,"OFFSET 1.005 arcsec,PANedMedian,",0.6151343854061909,47.0,0.388123558314346
01h14m15.8s +00d45m55s,PGC 04454,IC 0087,MCG +00-04-048,,.SB?...,,.74,.14,,.09,.07,011415.8+004555 I,"PANedMedian,",0.27477043692881226,98.0,0.22334179607548152
01h14m38.7s -01d01m14s,PGC 04484,NGC 0442,UGC 00789      R,IRAS01121-0116,.S..0*/,,.99,.06,157,.30,.05,011438.7-010114 N,"LOGD25,NOPA,NOAXIS,PANedMedian,PANedMedian,",0.48861861047790534,157.0,0.24488940968422312
01h14m37.250s +01d10m52.6s,PGC 04485,,UGC 00790      U,,.S..6*.,,.95,.07,,.05,.05,011437.4+011051,"LOGD25,NOPA,NOAXIS,OFFSET 1.071 arcsec,PANedMedian,PANedMedian,HANDADJ Coords PA",0.8916666666666667,120.0,0.7945
01h14m38.5416s +01d49m46.2s,PGC 04486,,UGC 00791      U,,.SB.2..,,1.02,.06,130,.12,.05,011438.6+014945,"NOPA,PANedMedian,PANedMedian,",0.5235642740254498,135.0,0.3971641173621408
01h14m49.3992s -00d29m44.988s,PGC 04490,,UGC 00793a,IRAS01122-0045,,,.64,.17,87,.06,.07,011448.8-002946,"OFFSET 1.939 arcsec,PANedMedian,HANDADJ Major Minor,",0.436,87.0,0.38
01h14m52.5s +01d55m02s,PGC 04493,NGC 0445,CGCG 385-047   E,,.L...P*,,.88,.08,75,.07,.05,011452.5+015502 N,"PANedMedian,",0.3792887875145919,130.0,0.32282711451732776
01h14m57.5904s +00d25m50.916s,PGC 04500,,UGC 00797      U,,.E...*.,,.95,.13,,.02,.05,011457.7+002550,"NOPA,PANedMedian,PANedMedian,",0.4456254690668727,154.0,0.42556901910118816
01h15m16.5s -01d37m34s,PGC 04524,NGC 0448,UGC 00801      U,,.L..-./,,1.21,.08,116,.33,.05,011516.5-013734 N,"OFFSET 2.711 arcsec,PANedMedian,",0.8109050486794649,115.0,0.37928878751459183
01h15m30.4416s -00d51m39.492s,PGC 04540,NGC 0450,UGC 00806      R,IRAS01129-0107,.SXS6*.,*,1.49,.02,72,.12,.03,011530.4-005139 N,"OFFSET 4.367 arcsec,PANedMedian,",1.5451477162567953,45.0,1.172114407659961
01h16m06.4104s +01d34m04.296s,PGC 04586,,UGC 00817      U,IRAS01135+0118,.SX.3*.,,.99,.06,,.22,.05,011606.6+013402,"NOPA,OFFSET 1.483 arcsec,PANedMedian,PANedMedian,",0.48861861047790534,75.0,0.2944218276777945
01h16m35.88s +01d12m08.1s,PGC 04608,,UGC 00823      U,,.S..9*.,,.96,.17,,.05,.12,011636.0+011207,"NOPA,OFFSET 1.803 arcsec,PANedMedian,NedNoPA,",0.4560054196779548,0.0,0.4064152580820496
01h17m51.5688s -01d57m21.096s,PGC 04659,,UGC 00830      U,,.SXR5?.,,1.35,.03,120,.17,.04,011751.7-015723,"NOPA,OFFSET 1.140 arcsec,PANedMedian,PANedMedian,",1.11936056928417,62.0,0.7567806242181042
01h18m53.6112s -01d00m07.164s,PGC 04717,,UGC 00842,,.L?....,,1.12,.10,85,.09,.05,011853.7-010008,"NOPA,PANedMedian,PANedMedian,",0.6591283692782037,72.0,0.5357596526188033
01h19m04.3968s -00d08m18.852s,PGC 04734,,UGC 00847      U,,.S..8*.,,1.14,.05,67,1.07,.05,011904.5-000820,"PANedMedian,",0.6901921323014423,66.0,0.058744877746976454
01h19m10.1304s +03d18m02.988s,PGC 04736,NGC 0467,UGC 00848      R,,.LAS0P$,12.9,1.23,.04,,.00,.04,011910.2+031802 N,"NOPA,PANedMedian,PANedMedian,",0.8491218262308722,140.0,0.8491218262308722
01h19m29s -01d42m06s,PGC 04771,,UGC 00856      U,,.SBS9..,,1.07,.14,25,.11,.12,011929.0-014206,"NOPA,PANedMedian,PANedMedian,",0.5874487774697649,25.0,0.45600541967795494
01h19m44.8512s +03d24m35.784s,PGC 04777,NGC 0470,UGC 00858      R,IRAS01171+0308,.SAT3..,12.53,1.45,.02,155,.21,.03,011944.8+032435 N,"PANedMedian,",1.4091914656322269,77.0,0.8689004143746878
