Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
11h13m41s +47d34m43s,PGC 34192,,UGC 06255,ARAK 283,.S?....,,.87,.08,35,.20,.05,111341.0+473443,,0.37065512065045875,35.0,0.2338675706435991
11h13m44.9s +48d16m21s,PGC 34195,NGC 3577,UGC 06257      R,,.SBR1..,,1.15,.04,,.01,.04,111344.9+481621 N,"NOPA,PANedMedian,",0.706268772311377,82.0,0.6901921323014423
11h14m10.9s +48d19m06s,PGC 34232,NGC 3583,UGC 06263      R,IRAS11113+4835,.SBS3..,,1.45,.03,125,.19,.04,111410.9+481906 N,,1.4091914656322269,125.0,0.9098504293049915
11h15m25.5s +47d26m49s,PGC 34325,NGC 3595,UGC 06280,,.E?....,,1.20,.07,176,.33,.04,111525.5+472649 N,,0.7924465962305567,176.0,0.3706551206504587
11h16m14s +55d42m15s,PGC 34374,NGC 3594,UGC 06286      U,,.LB..*.,,1.11,.10,10,.03,.05,111614.0+554215 N,,0.6441247758465671,10.0,0.6011322173087066
11h17m46.4784s +51d28m35.724s,PGC 34508,,UGC 06309,IRAS11149+5144,.SB?...,,1.14,.05,125,.24,.05,111746.7+512834,"OFFSET 2.694 arcsec,",0.6901921323014423,125.0,0.3971641173621407
11h18m21.3s +45d44m53s,PGC 34561,NGC 3614,UGC 06318      R,IRAS11155+4601,.SXR5..,,1.66,.02,80,.24,.03,111821.3+454453 N,,2.285440948074375,80.0,1.3151339959476909
11h18m11.9s +45d43m01s,PGC 34562,NGC 3614A,MCG +08-21-014 R,,.SBS9..,,.91,.09,,.00,.06,111811.9+454301 N,"NOPA,PANedMedian,",0.40641525808204965,177.0,0.40641525808204965
11h19m34.3s +51d30m12s,PGC 34658,A 1116+51,,,,,,,,,,111934.3+513012 A,"LOGD25,NOPA,NOAXIS,PANedMedian,",0.6560999495096017,89.0,0.6560999495096017
11h19m52.524s +54d27m46.26s,PGC 34670,,MCG +09-19-042 U,UGCA 233,.S..6*.,,1.00,.07,,.00,.06,111930.8+542734,"NOPA,OFFSET 189.804 arcsec,PANedMedian,",0.5,72.0,0.5
11h21m02.9s +53d10m10s,PGC 34767,NGC 3631,UGC 06360      R,ARP 027,.SAS5..,11.01S,1.70,.02,105,.02,.07,1121 2.9+531010 N,,2.505936168136361,105.0,2.393150461613191
11h21m43.62s +46d12m35.316s,PGC 34837,,UGC 06375      U,IRAS11189+4629,.S..2..,,1.08,.06,97,.63,.05,112143.8+461234,"OFFSET 2.285 arcsec,",0.6011322173087066,97.0,0.14091914656322269
11h22m02.256s +50d35m37.392s,PGC 34859,,UGC 06380      U,,.S..0..,,1.15,.05,58,.30,.05,112202.3+503536,"OFFSET 1.454 arcsec,",0.706268772311377,58.0,0.3539728921920689
11h23m23.2224s +50d53m33.756s,PGC 34971,,UGC 06399      U,,.S..9*.,14.19S,1.44,.03,142,.55,.05,112323.1+505334,"OFFSET 1.184 arcsec,",1.3771143516690831,142.0,0.3881235583143458
11h23m29.5032s +53d40m39.216s,PGC 34975,,UGC 06400      U,,.S..4..,,1.02,.06,98,.41,.05,112329.6+534038,"OFFSET 1.489 arcsec,",0.5235642740254498,98.0,0.20369013890205642
